supplier_id,supplier_name,contact_person,phone,email,city,country,address,rating,contract_start,status
1,Hayden and Sons,Lori Poole,01140315374,brewerricky@example.net,Patriciamouth,Liechtenstein,"209 Ortega Prairie Jennifertown, TX 96053",4.26,2022-02-06,Active
2,"Burgess, Hobbs and Robles",Michael Wright,01524420888,richard13@example.org,South Erictown,Solomon Islands,"74717 Thomas Burg Denisehaven, NY 01627",3.93,2023-12-25,Active
3,Hardy-Buck,Jack Singh,01547617543,lisaflores@example.net,Burkeland,Martinique,"44341 Catherine Manors Scottfort, MS 93424",3.61,2025-07-18,Active
4,Flores-Gutierrez,Jamie Lewis,01022130307,nicholas44@example.net,Port Glenport,Martinique,"060 Tina Cliffs Colemanside, IA 89035",3.89,2024-12-23,Active
5,Galvan PLC,Sarah Nelson,01554157572,michaelfoster@example.net,South Geraldville,Rwanda,"719 Emily Forges Suite 825 New Sharon, CO 10419",3.5,2026-02-28,Active
6,Watkins-Keller,Sean Johnson,01535505623,william41@example.net,East Dianeview,Botswana,"1166 Andersen Isle Port Amber, MA 67710",3.55,2024-02-10,Active
7,Gill Group,Erik Joyce,01067958337,laurahale@example.net,Smithside,Qatar,"7863 Michelle Rapid North Frank, MS 63209",4.27,2025-03-11,Active
8,Rodriguez Ltd,Gregory Nielsen,01278244936,adamsdavid@example.org,Paigebury,Bosnia and Herzegovina,"451 Mercado Prairie Apt. 641 Youngchester, MT 65701",4.05,2023-08-16,Active
9,"Watson, Jackson and Hoffman",Juan Byrd,01395604286,townsendangela@example.net,Port Jeffrey,Grenada,Unit 5867 Box 6397 DPO AE 39863,4.52,2023-05-25,Active
10,Sullivan-Stewart,Kayla Morgan,01712000105,johnsonrobert@example.org,New Dennishaven,Algeria,"6921 Kristi Estate West Michealmouth, WA 13670",3.06,2025-11-22,Active
11,Marshall-Estrada,Sara Smith,01054200679,tammywalker@example.net,North Samuel,Papua New Guinea,"04892 Miller Camp Lake Michael, MP 07520",3.76,2022-02-05,Active
12,Espinoza-Clark,Steven Harding,01583017736,hgibson@example.org,Calvinview,Vanuatu,"47769 White Views North Calvin, MD 93310",4.79,2025-10-17,Active
13,Jones-Webster,Anthony Nelson DDS,01620435882,jenseneric@example.org,Lake Ashley,Equatorial Guinea,"29573 Scott Ports Apt. 137 Stephenstown, MN 47765",3.24,2025-08-14,Active
14,"Orr, Munoz and Hubbard",Joseph Green,01095553963,vperez@example.org,New Ashleyside,Vanuatu,"109 Harris Place Olsonville, KS 51881",3.97,2025-11-23,Active
